,/api/skype,/api/twittervision,/api/plivo,/api/mailgun,/api/zapier,/api/twilio-sms,/api/paymentwall,/api/google-cloud-translation,/api/lastfm,/api/vonage-nexmo-sms,/api/google-maps-places,/api/amazon-ec2,/api/google-maps-data,/api/nationbuilder,/api/google-spreadsheets,/api/akismet,/api/pownce,/api/google-documents-list,/api/cloudmine,/api/google-geocoding,/api/microsoft-bing,/api/pushover-message,/api/kookoo,/api/google-single-signon,/api/twilio,/api/pubnub-javascript-push,/api/ebay,/api/payments-gateway,/api/heroku,/api/msn-messenger,/api/friendfeed,/api/gomotext-sms-gateway,/api/google-calendar,/api/facebook-social-plugins,/api/yahoo-local-search,/api/aol-open-auth,/api/spokenbuzz,/api/bing-translator,/api/google-buzz,/api/mogreet,/api/mailchimp,/api/tropo-scripting,/api/bitly,/api/twitter,/api/payment-vision-pay,/api/linkedin,/api/google-latitude,/api/stripe,/api/webaim,/api/pubnub,/api/facebook,/api/strikeiron-sms-mobile-marketing,/api/jaiku,/api/att-app-messaging,/api/aol-instant-messenger,/api/wordpresscom,/api/google-maps,/api/411sync,/api/noaa-national-weather-service-nws-ndfd-soap,/api/yahoo-bbauth,/api/hoiio-sms,/api/best-buy-products,/api/amazon-product-advertising,/api/youtube,/api/amazon-mechanical-turk,/api/delicious-0,/api/intelepeer,/api/tinysong,/api/pagerduty,/api/flickr,/api/tumblr,/api/google-app-engine,/api/yahoo-search,/api/google-talk,/api/clockwork-sms,/api/telapi,/api/windows-sidebar-gadgets,/api/yahoo-messenger,/api/billboard,/api/weather-underground-wunderground,/api/new-york-times-article-search
Mashup: ErgoTxt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Mobile Live Shopping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: Buoy Alarm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: AgencyIQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Happy Hour Share,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: MySpace Photos on Mobile Phones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Voicebuzz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Artist Explorer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Mashup: connectme.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Pushs.ms Nexmo mashup,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
